#,id,date_time,open,close,low,high,volume,pair_id
100,10362946,2015-11-08 07:00:00.000000,384.500001,371.00000001,369,389.35,3371.05062955,83
101,10362947,2015-11-09 07:00:00.000000,371.00006667,384.55,362.99999999,387.9099995,11796.61678413,83
102,10362948,2015-11-10 07:00:00.000000,382.51554957,335.20014911,327.70000002,385.63229092,13633.17558794,83
103,10362949,2015-11-11 07:00:00.000000,335.20014905,313.13,303.33311004,341,24073.00331861,83
104,10362950,2015-11-12 07:00:00.000000,313.13,339,308.99607256,343.29180826,8966.00556231,83
105,10362951,2015-11-13 07:00:00.000000,339,339.01194,325.00000001,343.10639329,6071.59637035,83
106,10362952,2015-11-14 07:00:00.000000,336.99999899,340.19,332.2,340.19,3876.89106148,83
107,10362953,2015-11-15 07:00:00.000000,340.18999999,318,318,341.1,27998.28341889,83
108,10362954,2015-11-16 07:00:00.000000,318,332,318,336.00400001,3587.00092425,83
109,10362955,2015-11-17 07:00:00.000000,334.99999222,334.01010403,331,340,5314.08033778,83
110,10362956,2015-11-18 07:00:00.000000,338.49998933,336.31001221,334,341.77699995,3288.34249066,83
111,10362957,2015-11-19 07:00:00.000000,336.31001223,328.999999,320.10000001,337.89998789,5716.69682478,83
112,10362958,2015-11-20 07:00:00.000000,332.949999,327.50000001,317.99999999,332.95,5201.18951038,83
113,10362959,2015-11-21 07:00:00.000000,323.49999999,328.79999999,323,335.34000003,4224.14769499,83
114,10362960,2015-11-22 07:00:00.000000,325.5000414,331.9,323.1,334.68999999,3956.72574788,83
115,10362961,2015-11-23 07:00:00.000000,328.75,325.47,324.00004591,334.69,415.49691086,83
116,10362962,2015-11-24 07:00:00.000000,329.99,321,321,329.99,5114.09038296,83
117,10362963,2015-11-25 07:00:00.000000,327.9998999,326.99,318.10010001,329,4363.41308284,83
118,10362964,2015-11-26 07:00:00.000000,328.989999,355.10127219,326.99047556,366.95586085,12795.53470417,83
119,10362965,2015-11-27 07:00:00.000000,355.10130018,361.99995456,349.00000605,378.888888,5368.60568671,83
120,10362966,2015-11-28 07:00:00.000000,361.99995456,356,354.00000001,364,8422.3282943,83
121,10362967,2015-11-29 07:00:00.000000,357.100001,375.00000004,356.50014836,378.888888,2090.20380147,83
122,10362968,2015-11-30 07:00:00.000000,375,379.49999999,371.99999999,385.00000001,4270.35881246,83
123,10362969,2015-12-01 07:00:00.000000,379.39999999,364,355,379.39999999,6039.86433605,83
124,10362970,2015-12-02 07:00:00.000000,356.450002,365.65493181,353.525125,366.36659,3623.81496124,83
125,10362971,2015-12-03 07:00:00.000000,365.46090835,366.99999998,356.00000801,375,2682.53387575,83
126,10362972,2015-12-04 07:00:00.000000,364.99999941,365.51,355.12278158,366,4006.18956686,83
127,10362973,2015-12-05 07:00:00.000000,365.49,380.45053057,360.12706417,392.265,14923.9584081,83
128,10362974,2015-12-06 07:00:00.000000,389.99999944,390.30007076,380.99663008,400.00000001,9688.91212093,83
129,10362975,2015-12-07 07:00:00.000000,397.99999989,394.20032806,388.00009037,403.00000001,6553.67471525,83
130,10362976,2015-12-08 07:00:00.000000,398.5,418.5542986,392.20000001,418.5542986,8458.64850158,83
131,10362977,2015-12-09 07:00:00.000000,413.00000018,421.9999999,404.48417735,428.99999997,14490.17812562,83
132,10362978,2015-12-10 07:00:00.000000,420.51425536,425.17679999,410.000021,425.17679999,5793.98207009,83
133,10362979,2015-12-11 07:00:00.000000,420.00000027,452.70000009,418.63267478,456.65800001,22657.15254636,83
134,10362980,2015-12-12 07:00:00.000000,445.79596711,430.15422975,405.66284539,468,24374.04001909,83
135,10362981,2015-12-13 07:00:00.000000,427.86722266,433.00000202,423.25,444.99999993,8316.76869106,83
136,10362982,2015-12-14 07:00:00.000000,433.04088808,443.09999999,431.00007782,449.49498,4180.87865293,83
137,10362983,2015-12-15 07:00:00.000000,443.00000009,465.15045061,442.99999993,465.15045069,15161.60372743,83
138,10362984,2015-12-16 07:00:00.000000,465.15045049,453.000001,445,468.49999999,10825.19994283,83
139,10362985,2015-12-17 07:00:00.000000,455.99999999,453.500001,451,457.9999,1346.45368139,83
140,10362986,2015-12-18 07:00:00.000000,453.500001,460,453.000001,465,5049.65580533,83
141,10362987,2015-12-19 07:00:00.000000,458.000001,460,452.130001,466.929,11513.43735268,83
142,10362988,2015-12-20 07:00:00.000000,456.81643452,438.10101011,431.01,460,11042.25379025,83
143,10362989,2015-12-21 07:00:00.000000,443.09925,439.7999,426,443.0999999,11583.495905,83
144,10362990,2015-12-22 07:00:00.000000,432.2589971,434.84381765,432.2589971,439.83131689,6790.83811122,83
145,10362991,2015-12-23 07:00:00.000000,434.00000001,445.67999996,434,446,2590.72813707,83
146,10362992,2015-12-24 07:00:00.000000,445.67999,453.06292574,441.52188074,464.88566999,5436.33844866,83
147,10362993,2015-12-25 07:00:00.000000,453.0630166,455,450,459.39999999,1783.49667733,83
148,10362994,2015-12-26 07:00:00.000000,455.99999989,418.53822857,409.000166,460.999999,11361.05410045,83
149,10362995,2015-12-27 07:00:00.000000,420.95017872,421.24000002,412.32,429.68242294,5994.61615054,83
150,10362996,2015-12-28 07:00:00.000000,423.08,423.59556697,417.00000001,431.69037499,3195.21888091,83
151,10362997,2015-12-29 07:00:00.000000,421.1,427.00000001,421.1,437.0783412,3568.15835775,83
152,10362998,2015-12-30 07:00:00.000000,433.2,425.12,420,434.07,3505.68330624,83
153,10362999,2015-12-31 07:00:00.000000,424.27,430.57315002,417,430.57315002,2539.67580514,83
154,10363000,2016-01-01 07:00:00.000000,428.26000202,434.98999999,428.26000202,435,2975.02694268,83
155,10363001,2016-01-02 07:00:00.000000,434.98999999,436.9499,430.5,438.13999999,944.85328936,83
156,10363002,2016-01-03 07:00:00.000000,432.31,428.14,426.45308869,435.61499822,683.91847,83
157,10363003,2016-01-04 07:00:00.000000,427.29114142,432.00001111,427.29114042,435.999999,724.97600445,83
